iso3,country,year,line_ppp,B_per_year,gdp_pc_ppp,gini,gross_pct_gdp,gap_elim_pct_gdp,net_transfer_pct_gdp,tax_rev_pct_gdp,required_avg_tax_on_gdp,B_over_mu
MEX,Mexico,2024,4.2,1533.0,21970.3520412926,42.6,5.937176815942078,0.06530894497536288,1.8346579871250495,14.8241106773063,5.937176815942078,0.09303446736576478
MEX,Mexico,2024,8.3,3029.5000000000005,21970.3520412926,42.6,11.732992279123634,0.7509115058639125,3.625633641223312,14.8241106773063,11.732992279123634,0.18385382836567804
NGA,Nigeria,2024,3.0,1095.0,7994.03754470824,33.9,12.033139677265995,1.5643081580445792,2.93015601825909,,12.033139677265995,0.18263611996249213
NGA,Nigeria,2024,4.2,1533.0,7994.03754470824,33.9,16.846395548172392,4.144213304850409,4.102218425562726,,16.846395548172392,0.25569056794748896
NGA,Nigeria,2024,8.3,3029.5000000000005,7994.03754470824,33.9,33.291686440435925,17.71117718631191,8.106764983850152,,33.291686440435925,0.5052932652295616
PAK,Pakistan,2024,3.0,1095.0,5502.0736120186,33.5,17.483112212577538,0.9091218350540321,4.205409517816756,,17.483112212577538,0.26535450140303657
PAK,Pakistan,2024,4.2,1533.0,5502.0736120186,33.5,24.476357097608552,3.4022136365675895,5.8875733249434585,,24.476357097608552,0.3714963019642512
PAK,Pakistan,2024,8.3,3029.5000000000005,5502.0736120186,33.5,48.369943788131195,20.70233594132015,11.634966332626359,,48.369943788131195,0.7341474538817346
PHL,Philippines,2024,3.0,1095.0,10378.1717703535,39.3,9.268816559345337,0.09268816559345337,2.631637225553099,14.369653991008,9.268816559345337,0.14067988392432146
PHL,Philippines,2024,4.2,1533.0,10378.1717703535,39.3,12.976343183083472,0.4801246977740885,3.6842921157743382,14.369653991008,12.976343183083472,0.19695183749405004
PHL,Philippines,2024,8.3,3029.5000000000005,10378.1717703535,39.3,25.64372581418877,5.513401050050585,7.280862990696908,14.369653991008,25.64372581418877,0.38921434552395606
RUS,Russian Federation,2024,3.0,1095.0,41891.171875,33.0,2.257523832316813,0.0,0.5346691669436027,10.8718510370824,2.257523832316813,0.03485221192561828
RUS,Russian Federation,2024,4.2,1533.0,41891.171875,33.0,3.1605333652435386,0.003160533365243539,0.7485368337210436,10.8718510370824,3.1605333652435386,0.04879309669586559
RUS,Russian Federation,2024,8.3,3029.5000000000005,41891.171875,33.0,6.245815936076518,0.01873744780822955,1.4792513618773009,10.8718510370824,6.245815936076518,0.09642445299421058
TUR,Turkiye,2024,3.0,1095.0,36154.490436557,43.7,2.4267040245205966,0.0,0.7703544559999045,17.6239296509985,2.4267040245205966,0.04038225908789869
TUR,Turkiye,2024,4.2,1533.0,36154.490436557,43.7,3.397385634328835,0.0033973856343288353,1.0784962383998662,17.6239296509985,3.397385634328835,0.05653516272305816
TUR,Turkiye,2024,8.3,3029.5000000000005,36154.490436557,43.7,6.713881134506985,0.06713881134506984,2.1313139949330693,17.6239296509985,6.713881134506985,0.11172425014318639
USA,United States,2024,3.0,1095.0,75698.1773354629,41.8,1.2707488310384778,0.010165990648307826,0.3849097236544361,10.7694743667429,1.2707488310384778,0.019287122245095625
USA,United States,2024,4.2,1533.0,75698.1773354629,41.8,1.779048363453869,0.016011435271084826,0.5388736131162105,10.7694743667429,1.779048363453869,0.027001971143133876
USA,United States,2024,8.3,3029.5000000000005,75698.1773354629,41.8,3.5157384325397896,0.04218886119047747,1.0649169021106066,10.7694743667429,3.5157384325397896,0.05336103821143124
VNM,Viet Nam,2024,3.0,1095.0,14396.4217369473,36.1,6.68175551664413,0.026727022066576525,1.7364926220716674,,6.68175551664413,0.10141408932561508
VNM,Viet Nam,2024,4.2,1533.0,14396.4217369473,36.1,9.354457723301781,0.10289903495631963,2.431089670900335,,9.354457723301781,0.1419797250558611
VNM,Viet Nam,2024,8.3,3029.5000000000005,14396.4217369473,36.1,18.486190262715432,1.2016023670765028,4.804296254398281,,18.486190262715432,0.2805789804675351
ZAF,South Africa,2024,3.0,1095.0,13597.6538495998,54.1,7.074262326777364,0.3607873786656456,2.8258088257637946,25.8775949092475,7.074262326777364,0.10737146394140412
ZAF,South Africa,2024,4.2,1533.0,13597.6538495998,54.1,9.90396725748831,1.0399165620362725,3.9561323560693125,25.8775949092475,9.90396725748831,0.15032004951796576
ZAF,South Africa,2024,8.3,3029.5000000000005,13597.6538495998,54.1,19.57212577075071,5.558483718893202,7.818071084613167,25.8775949092475,19.57212577075071,0.2970610502378848
WLD,World,2024,3.0,1095.0,24544.475003501895,0.39,4.461289148958249,0.160606409362497,1.2565605956568642,,4.461289148958249,0.05948385531944333
WLD,World,2024,4.2,1533.0,24544.475003501895,0.39,6.245804808541549,0.4184689221722839,1.75918483391961,,6.245804808541549,0.08327739744722065
WLD,World,2024,8.3,3029.5000000000005,24544.475003501895,0.39,12.342899978784493,2.4809228957356826,3.4764843146506585,,12.342899978784493,0.16457199971712658
