iso3,country,alpha,gross_pct_gdp,net_pct_gdp,incremental_R5,incremental_R10,tax_headroom_to_DK_pp,gini_used,k_net
FRA,France,0.1,10.0,2.279746997098888,-2.720253002901112,-7.720253002901112,0.10000000000000142,0.318,0.22797469970988882
FRA,France,0.2,20.0,4.559493994197776,-0.44050600580222365,-5.440506005802224,0.10000000000000142,0.318,0.22797469970988882
FRA,France,0.3,30.0,6.8392409912966645,1.8392409912966645,-3.1607590087033355,0.10000000000000142,0.318,0.22797469970988882
GBR,United Kingdom,0.1,10.0,2.3240293460490804,-2.6759706539509196,-7.67597065395092,8.700000000000003,0.324,0.23240293460490805
GBR,United Kingdom,0.2,20.0,4.648058692098161,-0.3519413079018392,-5.351941307901839,8.700000000000003,0.324,0.23240293460490805
GBR,United Kingdom,0.3,30.0,6.972088038147241,1.9720880381472412,-3.027911961852759,8.700000000000003,0.324,0.23240293460490805
USA,United States,0.1,10.0,3.0289992348181425,-1.9710007651818575,-6.9710007651818575,16.3,0.418,0.30289992348181427
USA,United States,0.2,20.0,6.057998469636285,1.057998469636285,-3.942001530363715,16.3,0.418,0.30289992348181427
USA,United States,0.3,30.0,9.086997704454427,4.0869977044544274,-0.9130022955455726,16.3,0.418,0.30289992348181427
CAN,Canada,0.1,10.0,2.2576337385034293,-2.7423662614965707,-7.742366261496571,10.799999999999997,0.315,0.22576337385034295
CAN,Canada,0.2,20.0,4.515267477006859,-0.4847325229931414,-5.484732522993141,10.799999999999997,0.315,0.22576337385034295
CAN,Canada,0.3,30.0,6.772901215510289,1.7729012155102888,-3.227098784489711,10.799999999999997,0.315,0.22576337385034295
AUS,Australia,0.1,10.0,2.427653677722725,-2.572346322277275,-7.572346322277275,14.399999999999999,0.33799999999999997,0.24276536777227248
AUS,Australia,0.2,20.0,4.85530735544545,-0.14469264455455022,-5.14469264455455,14.399999999999999,0.33799999999999997,0.24276536777227248
AUS,Australia,0.3,30.0,7.282961033168174,2.2829610331681742,-2.7170389668318258,14.399999999999999,0.33799999999999997,0.24276536777227248
JPN,Japan,0.1,10.0,2.3166437274645597,-2.6833562725354403,-7.68335627253544,10.0,0.32299999999999995,0.231664372746456
JPN,Japan,0.2,20.0,4.633287454929119,-0.3667125450708806,-5.366712545070881,10.0,0.32299999999999995,0.231664372746456
JPN,Japan,0.3,30.0,6.94993118239368,1.94993118239368,-3.05006881760632,10.0,0.32299999999999995,0.231664372746456
KOR,"Korea, Rep.",0.1,10.0,2.360989280401994,-2.639010719598006,-7.639010719598006,13.5,0.32899999999999996,0.2360989280401994
KOR,"Korea, Rep.",0.2,20.0,4.721978560803988,-0.27802143919601185,-5.278021439196012,13.5,0.32899999999999996,0.2360989280401994
KOR,"Korea, Rep.",0.3,30.0,7.082967841205982,2.082967841205982,-2.917032158794018,13.5,0.32899999999999996,0.2360989280401994
SGP,Singapore,0.1,10.0,2.0740468743934475,-2.9259531256065525,-7.9259531256065525,,0.29,0.20740468743934476
SGP,Singapore,0.2,20.0,4.148093748786895,-0.851906251213105,-5.851906251213105,,0.29,0.20740468743934476
SGP,Singapore,0.3,30.0,6.2221406231803424,1.2221406231803424,-3.7778593768196576,,0.29,0.20740468743934476
ARE,United Arab Emirates,0.1,10.0,1.884327320491575,-3.115672679508425,-8.115672679508425,,0.264,0.1884327320491575
ARE,United Arab Emirates,0.2,20.0,3.76865464098315,-1.2313453590168502,-6.23134535901685,,0.264,0.1884327320491575
ARE,United Arab Emirates,0.3,30.0,5.652981961474725,0.6529819614747252,-4.347018038525275,,0.264,0.1884327320491575
ESP,Spain,0.1,10.0,2.398003090926241,-2.601996909073759,-7.601996909073759,6.5,0.33399999999999996,0.2398003090926241
ESP,Spain,0.2,20.0,4.796006181852482,-0.20399381814751827,-5.203993818147518,6.5,0.33399999999999996,0.2398003090926241
ESP,Spain,0.3,30.0,7.194009272778723,2.1940092727787226,-2.8059907272212774,6.5,0.33399999999999996,0.2398003090926241
ITA,Italy,0.1,10.0,2.464767281446925,-2.535232718553075,-7.535232718553075,1.1000000000000014,0.34299999999999997,0.24647672814469251
ITA,Italy,0.2,20.0,4.92953456289385,-0.07046543710614994,-5.07046543710615,1.1000000000000014,0.34299999999999997,0.24647672814469251
ITA,Italy,0.3,30.0,7.3943018443407755,2.3943018443407755,-2.6056981556592245,1.1000000000000014,0.34299999999999997,0.24647672814469251
